"Morrongiello, J.R.1,2, & Thresher, R.E.1 A statistical framework to explore ontogenetic growth variation among individuals and populations: a marine fish example. Ecological Monographs",,
"1 CSIRO Marine and Atmospheric Research, Wealth from Oceans Flagship, GPO Box 1538, Hobart, TAS 7001, Australia",,
2 email: jrmorrongiello@gmail.com,,
zone,Year,Temp
A,1971,12.24321893
A,1972,11.51548298
A,1973,12.41032683
A,1974,12.11389719
A,1975,11.71725127
A,1976,11.73224049
A,1977,11.65362076
A,1978,11.25922827
A,1979,11.60574564
A,1980,11.42267086
A,1981,11.53156465
A,1982,11.30835115
A,1983,11.74122236
A,1984,11.16294746
A,1985,11.67684161
A,1986,12.85400261
A,1987,12.64972235
A,1988,11.13609774
A,1989,11.81534035
A,1990,12.79507808
A,1991,11.72808498
A,1992,11.41812847
A,1993,12.53364246
A,1994,12.92523086
A,1995,12.70961518
A,1996,12.98683308
A,1997,12.79912151
A,1998,11.17099225
A,1999,11.68260446
A,2000,11.57349007
A,2001,11.04123589
A,2002,11.93735177
A,2003,12.78381137
A,2004,11.88861539
A,2005,12.22721832
A,2006,11.55513634
A,2007,12.32652711
A,2008,12.96250506
B,1971,13.13133015
B,1972,12.04377246
B,1973,11.78975147
B,1974,11.61977624
B,1975,11.92460088
B,1976,13.24602976
B,1977,13.04981773
B,1978,12.49312292
B,1979,13.48183836
B,1980,12.93055233
B,1981,11.61449566
B,1982,12.76706708
B,1983,13.48863211
B,1984,12.59469295
B,1985,12.75209224
B,1986,12.09876583
B,1987,12.76338641
B,1988,13.16250487
B,1989,12.92295848
B,1990,12.60194187
B,1991,12.48071082
B,1992,12.7483074
B,1993,13.49512786
B,1994,11.93931852
B,1995,13.35633016
B,1996,12.94162924
B,1997,11.93230819
B,1998,12.12429863
B,1999,12.72393908
B,2000,12.39668837
B,2001,12.88592008
B,2002,11.8218314
B,2003,13.44332596
B,2004,13.2202287
B,2005,11.54738289
B,2006,12.33604476
B,2007,11.72320178
B,2008,12.88990013
C,1971,13.11453325
C,1972,13.10244667
C,1973,13.03133702
C,1974,13.80794885
C,1975,12.13614365
C,1976,13.13114922
C,1977,12.82051503
C,1978,13.39324834
C,1979,12.72568064
C,1980,12.14233889
C,1981,12.84628624
C,1982,13.310275
C,1983,12.5220567
C,1984,13.99753916
C,1985,12.29012618
C,1986,12.25164689
C,1987,12.57376979
C,1988,12.48520095
C,1989,12.86276456
C,1990,12.30370123
C,1991,12.24535589
C,1992,12.03391018
C,1993,12.28876355
C,1994,13.42688161
C,1995,13.90358695
C,1996,13.96586888
C,1997,13.69950603
C,1998,12.52613199
C,1999,12.74761109
C,2000,13.5863114
C,2001,12.2726976
C,2002,13.37752044
C,2003,13.34698047
C,2004,12.2429133
C,2005,13.57923187
C,2006,12.86130569
C,2007,13.65148501
C,2008,13.32750157
D,1971,13.48710251
D,1972,13.81878569
D,1973,14.17012324
D,1974,12.92978858
D,1975,13.57014652
D,1976,13.02403174
D,1977,14.20088239
D,1978,12.64391527
D,1979,14.15029647
D,1980,12.95385936
D,1981,12.76735255
D,1982,12.66345935
