"Morrongiello, J.R.1,2, & Thresher, R.E.1 A statistical framework to explore ontogenetic growth variation among individuals and populations: a marine fish example. Ecological Monographs",,,,,,,
"1 CSIRO Marine and Atmospheric Research, Wealth from Oceans Flagship, GPO Box 1538, Hobart, TAS 7001, Australia",,,,,,,
2 email: jrmorrongiello@gmail.com,,,,,,,
FishID,zone,sex,AAC,Cohort,Age,Year,Increment
fish417,G,F,3,1995,2,1995,0.252583
fish417,G,F,3,1995,3,1995,0.174602
fish491,D,F,3,1995,2,1995,0.192407
fish491,D,F,3,1995,3,1995,0.150005
fish887,G,F,3,1995,2,1995,0.254819
fish887,G,F,3,1995,3,1995,0.159307
fish273,H,F,4,1994,2,1994,0.284181
fish273,H,F,4,1994,3,1994,0.193
fish273,H,F,4,1994,4,1994,0.121194
fish989,J,F,5,1993,2,1993,0.274687
fish989,J,F,5,1993,3,1993,0.106611
fish989,J,F,5,1993,4,1993,0.123896
fish989,J,F,5,1993,5,1993,0.083243
fish459,A,M,2,1996,2,1996,0.229469
fish162,C,M,3,1995,2,1995,0.210791
fish162,C,M,3,1995,3,1995,0.137729
fish231,F,M,6,1992,2,1992,0.271969
fish231,F,M,6,1992,3,1992,0.214307
fish231,F,M,6,1992,4,1992,0.145422
fish231,F,M,6,1992,5,1992,0.12092
fish231,F,M,6,1992,6,1992,0.08011
fish606,J,M,8,1990,2,1990,0.32115
fish606,J,M,8,1990,3,1990,0.159356
fish606,J,M,8,1990,4,1990,0.12202
fish606,J,M,8,1990,5,1990,0.11741
fish606,J,M,8,1990,6,1990,0.09234
fish606,J,M,8,1990,7,1990,0.09234
fish606,J,M,8,1990,8,1990,0.0523
fish751,E,M,6,1992,2,1992,0.192216
fish751,E,M,6,1992,3,1992,0.204234
fish751,E,M,6,1992,4,1992,0.122197
fish751,E,M,6,1992,5,1992,0.075631
fish751,E,M,6,1992,6,1992,0.07735
fish185,D,F,2,1997,2,1997,0.290698
